TweetID,UserID,Username,Text,Tweet_Created At,Language,Tweet_Retweets,Tweet_Likes,Tweet_Replies,Tweet_Sensitive,Tweet_Hashtags,Is_Blue_Verified,Verified,User_Possibly_Sensitive,Followers_Count,Following_Count
0aab5c61f021eb3d246f9091f02e20436d19bc709cadd346efae52335687c8bd,cd0e4250203045502a73bf1c781336e8fbcb5bf6a88d421f8dada89bc44f52cd,4bc37521e62a35992f9db7e2be6f487605d39b9db815cec7e289cceaf328cec5,RT @user26979: I made a little interactive Christmas card for my clients and collaborators to thank them for what's been a great year.…,Thu Dec 07 16:03:33 +0000 2023,en,13,0,0,,[],False,False,False,27800,588
320a2037b354a0d4eb58547c45f8c66c7b8f9a8190f152fb365261619bf1e0b9,506f48e232f7f818aeb2df320f7e50f2ee17d2c7fda65ca25fc0e0abceef35f3,b7e45df6c45f04c9ac33cc573a70d768d3c1d6401cbb7175dee7b56ab698c918,"RT @user42053: Good to see you, @user16219 🎉

Meet a Node.js contributor and member of the npm cli team at GitHub.

Join us at #DevOpsJS Mar…",Fri Feb 04 15:22:06 +0000 2022,en,2,0,0,,['DevOpsJS'],False,False,False,1926,544
db8356473dff8d8296364d3edceffe45c380612fecb27cd9d52ca05c234eb64a,85225b46c740085ffa665190d59a8c2cd748631192dedb17fa7c4199bc615548,df9554aa70b9103987d50a810e74f55bce8461b4ba6b40a8ba99f6dab1c52b86,[LINK] was a delightful little website to make,Fri Jul 21 04:55:34 +0000 2023,en,0,14,3,False,[],True,False,False,9213,245
57c46147640cf5ca1d2b6086bcf241e52eedec201b1bdee54bffa5a05e84d3f0,32f710a8d069ad9be3c0f0bf854de0c5798b68634bfa6b409683bc54cd103230,6f371de4e509e16286f839cb162c12ddc1d7fc4aafa7fb507e22ba7110d0ef23,"It was a great event, fantastic to meet up with a load of folks and talk about managing async apis.",Thu Sep 21 08:21:03 +0000 2023,en,2,10,2,,[],False,False,False,9702,1592
729d523e9ee22f8c11f57d186fb0d34793ec6801df63a712b76a8eb1a52425ce,37f3f1e747c4c273f9adce6f7b8a6683b767ece1c6420a620901e72f17b8e1ce,c141faa80e43a11909f5736d1e767f12e1468aa06dadd446081746934e875fc3,RT @user56005: @user56006 scale arm / leg bones on one axis then apply so it resets to 100% again,Sat Sep 23 12:00:21 +0000 2023,en,1,0,0,,[],False,False,False,693,578
4b863bc5657efd5d59b691322fea66d3356fc115f5e754cf8fcb4a996a8765fd,3a08f79e904e63b087fdcc4cb19e6b8ae2a757d486720b98d769a5a22e49992f,64b010cea6be9372be5265859ca7f38f91185dd8aa68c4ebff5f77e1d8adaefc,my skin is hot the temp is too fuckin high for toronto,Sat Jul 29 07:14:39 +0000 2023,en,4,304,15,,[],False,False,False,201093,81
db45b8cf9d10f38c6cc95168f0bc9af6d833c50d5ecc7c57c23f5085ca380e6c,3a8efcbaf35e70c8fba3430c1476a11910f716a47761950c6dbc36c110bbe287,6364fedbc4b00f0bf24c61ae6d676001dad743fba3d2eb51e4b23d5ae79134f0,Nothing to write home about #EURo2024,Sun Jun 30 18:38:30 +0000 2024,en,0,0,0,,['EURo2024'],True,False,False,1951,1350
faadeb4bae4bc5a3194bbb084ae403deeffb6c304876b23b742b7be2930930fe,d87c8987ed1a65ff42d37513cfb2e684b35d345820e953d9d97a92f055d3e478,a6de286bd00173b8a84cfb0dc93ac435ba63d62b4eb5576f36d0d9a4db96c89b,GitHub's built in chatbot to answer questions about specific repositories on GitHub [LINK],Thu Sep 26 17:35:40 +0000 2024,en,0,1,0,False,[],True,False,False,7197,3472
ac171b589f98858e845e1542dfe80bfcd0827e8d9d3c37659ca2d9f231433082,6cf8381a707fb81b4a0362c10d9577922c7a8f93b5fd130f3fca2b9230cb636c,59bbabc0a6d18ad623f11882a78566ba077e94bc89956398f45927f18e954e17,"You gotta love the @user8614 extension for @user448!

Simply like the currently playing track while coding, designing, etc. Anytime, anywhere on your Mac!

🎶 [LINK] [LINK]",Fri Jun 28 14:41:29 +0000 2024,en,2,61,7,False,[],True,False,False,9384,367
085716770218f68a036da9e08503100c0ac7b0c6bc44321a75556b4f3091358b,2e6d9fd96662f4f61a89bbfb6fd84c10fc2af7154178081d051884b32c1beb48,b17e85a7d2a1699d88ef1fa780708736395753c5e457975d0f36327c0cd58014,Long &amp; heavy rains always throw flashbacks to this scene [LINK],Wed Sep 07 06:20:47 +0000 2022,en,0,2,0,False,[],False,False,False,1031,1612
